Data hora,Activa  kW,Reactiva Indutiva  kVAR,Reactiva Capacitiva  kVAR

01/01/2018 00:00,11,7,0
01/01/2018 00:15,11,7,0
01/01/2018 00:30,9,6,0
01/01/2018 00:45,10,6,0
01/01/2018 01:00,11,7,0
01/01/2018 01:15,10,7,0
01/01/2018 01:30,10,6,0
01/01/2018 01:45,10,7,0
01/01/2018 02:00,11,6,0
01/01/2018 02:15,11,7,0
01/01/2018 02:30,9,6,0
01/01/2018 02:45,9,5,0
01/01/2018 03:00,10,6,0
01/01/2018 03:15,11,7,0
01/01/2018 03:30,10,7,0
01/01/2018 03:45,11,7,0
01/01/2018 04:00,11,7,0
01/01/2018 04:15,10,6,0
01/01/2018 04:30,11,7,0
01/01/2018 04:45,11,7,0
01/01/2018 05:00,10,6,0
01/01/2018 05:15,10,6,0
01/01/2018 05:30,9,5,0
01/01/2018 05:45,8,5,0
01/01/2018 06:00,11,6,0
01/01/2018 06:15,10,7,0
01/01/2018 06:30,10,5,0
01/01/2018 06:45,9,5,0
01/01/2018 07:00,10,6,0
01/01/2018 07:15,11,6,0
01/01/2018 07:30,10,6,0
01/01/2018 07:45,10,6,0
01/01/2018 08:00,10,7,0
01/01/2018 08:15,10,6,0
01/01/2018 08:30,10,6,0
01/01/2018 08:45,9,5,0
01/01/2018 09:00,10,6,0
01/01/2018 09:15,10,7,0
01/01/2018 09:30,10,5,0
01/01/2018 09:45,11,7,0
01/01/2018 10:00,10,5,0
01/01/2018 10:15,10,6,0
01/01/2018 10:30,10,6,0
01/01/2018 10:45,10,6,0
01/01/2018 11:00,10,5,0
01/01/2018 11:15,10,6,0
01/01/2018 11:30,9,5,0
01/01/2018 11:45,8,5,0
01/01/2018 12:00,9,5,0
01/01/2018 12:15,10,5,0
01/01/2018 12:30,11,6,0
01/01/2018 12:45,10,6,0
01/01/2018 13:00,10,6,0
01/01/2018 13:15,11,7,0
01/01/2018 13:30,11,7,0
01/01/2018 13:45,10,6,0
01/01/2018 14:00,11,7,0
01/01/2018 14:15,11,7,0
01/01/2018 14:30,10,6,0
01/01/2018 14:45,9,5,0
01/01/2018 15:00,10,6,0
01/01/2018 15:15,10,6,0
01/01/2018 15:30,10,6,0
01/01/2018 15:45,11,7,0
01/01/2018 16:00,10,6,0
01/01/2018 16:15,10,6,0
01/01/2018 16:30,10,6,0
01/01/2018 16:45,9,5,0
01/01/2018 17:00,10,6,0
01/01/2018 17:15,9,5,0
01/01/2018 17:30,10,6,0
01/01/2018 17:45,10,6,0
01/01/2018 18:00,8,5,0
01/01/2018 18:15,10,6,0
01/01/2018 18:30,10,5,0
01/01/2018 18:45,10,7,0
01/01/2018 19:00,11,6,0
01/01/2018 19:15,10,6,0
01/01/2018 19:30,11,6,0
01/01/2018 19:45,10,7,0
01/01/2018 20:00,11,7,0
01/01/2018 20:15,10,6,0
01/01/2018 20:30,11,6,0
01/01/2018 20:45,9,5,0
01/01/2018 21:00,8,5,0
01/01/2018 21:15,10,6,0
01/01/2018 21:30,10,6,0
01/01/2018 21:45,10,6,0
01/01/2018 22:00,10,6,0
01/01/2018 22:15,11,6,0
01/01/2018 22:30,10,6,0
01/01/2018 22:45,10,7,0
01/01/2018 23:00,11,6,0
01/01/2018 23:15,10,7,0
01/01/2018 23:30,10,6,0
01/01/2018 23:45,10,6,0
02/01/2018 00:00,9,6,0
02/01/2018 00:15,8,5,0
02/01/2018 00:30,10,6,0
02/01/2018 00:45,11,6,0
02/01/2018 01:00,9,6,0
02/01/2018 01:15,10,5,0
02/01/2018 01:30,10,6,0
02/01/2018 01:45,10,5,0
02/01/2018 02:00,10,6,0
02/01/2018 02:15,10,6,0
02/01/2018 02:30,10,6,0
02/01/2018 02:45,10,6,0
02/01/2018 03:00,7,4,0
02/01/2018 03:15,9,5,0
02/01/2018 03:30,10,6,0
02/01/2018 03:45,10,6,0
02/01/2018 04:00,10,6,0
02/01/2018 04:15,10,6,0
02/01/2018 04:30,11,7,0
02/01/2018 04:45,11,7,0
02/01/2018 05:00,10,6,0
02/01/2018 05:15,11,6,0
02/01/2018 05:30,10,6,0
02/01/2018 05:45,9,5,0
02/01/2018 06:00,10,6,0
02/01/2018 06:15,9,4,0
02/01/2018 06:30,13,5,0
02/01/2018 06:45,14,6,0
02/01/2018 07:00,14,6,0
02/01/2018 07:15,13,6,0
02/01/2018 07:30,13,6,0
02/01/2018 07:45,14,6,0
02/01/2018 08:00,14,7,0
02/01/2018 08:15,14,7,0
02/01/2018 08:30,15,8,0
02/01/2018 08:45,15,7,0
02/01/2018 09:00,16,7,0
02/01/2018 09:15,21,7,0
02/01/2018 09:30,22,9,0
02/01/2018 09:45,23,9,0
02/01/2018 10:00,16,8,0
02/01/2018 10:15,20,9,0
02/01/2018 10:30,21,8,0
02/01/2018 10:45,22,9,0
02/01/2018 11:00,25,9,0
02/01/2018 11:15,30,10,0
02/01/2018 11:30,23,9,0
02/01/2018 11:45,24,10,0
02/01/2018 12:00,25,9,0
02/01/2018 12:15,24,10,0
02/01/2018 12:30,26,8,0
02/01/2018 12:45,26,10,0
02/01/2018 13:00,23,10,0
02/01/2018 13:15,22,9,0
02/01/2018 13:30,23,10,0
02/01/2018 13:45,24,9,0
02/01/2018 14:00,28,10,0
02/01/2018 14:15,22,9,0
02/01/2018 14:30,24,11,0
02/01/2018 14:45,24,10,0
02/01/2018 15:00,22,8,0
02/01/2018 15:15,26,10,0
02/01/2018 15:30,23,9,0
02/01/2018 15:45,26,10,0
02/01/2018 16:00,21,9,0
02/01/2018 16:15,21,9,0
02/01/2018 16:30,24,10,0
02/01/2018 16:45,24,10,0
02/01/2018 17:00,23,9,0
02/01/2018 17:15,22,10,0
02/01/2018 17:30,21,10,0
02/01/2018 17:45,19,9,0
02/01/2018 18:00,20,9,0
02/01/2018 18:15,15,10,0
02/01/2018 18:30,12,8,0
02/01/2018 18:45,12,8,0
02/01/2018 19:00,11,9,0
02/01/2018 19:15,12,9,0
02/01/2018 19:30,12,8,0
02/01/2018 19:45,10,7,0
02/01/2018 20:00,11,7,0
02/01/2018 20:15,11,7,0
02/01/2018 20:30,10,7,0
02/01/2018 20:45,12,9,0
02/01/2018 21:00,10,7,0
02/01/2018 21:15,10,6,0
02/01/2018 21:30,11,8,0
02/01/2018 21:45,11,7,0
