Data hora,Activa  kW,Reactiva Indutiva  kVAR,Reactiva Capacitiva  kVAR

01/01/2018 00:00,5,3,0
01/01/2018 00:15,5,3,0
01/01/2018 00:30,5,2,0
01/01/2018 00:45,5,3,0
01/01/2018 01:00,5,2,0
01/01/2018 01:15,5,3,0
01/01/2018 01:30,7,3,0
01/01/2018 01:45,5,2,0
01/01/2018 02:00,5,3,0
01/01/2018 02:15,6,2,0
01/01/2018 02:30,5,3,0
01/01/2018 02:45,4,2,0
01/01/2018 03:00,5,3,0
01/01/2018 03:15,4,2,0
01/01/2018 03:30,5,3,0
01/01/2018 03:45,5,2,0
01/01/2018 04:00,4,3,0
01/01/2018 04:15,5,2,0
01/01/2018 04:30,5,3,0
01/01/2018 04:45,4,2,0
01/01/2018 05:00,5,3,0
01/01/2018 05:15,4,2,0
01/01/2018 05:30,5,3,0
01/01/2018 05:45,5,2,0
01/01/2018 06:00,4,2,0
01/01/2018 06:15,5,3,0
01/01/2018 06:30,4,2,0
01/01/2018 06:45,5,3,0
01/01/2018 07:00,5,2,0
01/01/2018 07:15,16,3,0
01/01/2018 07:30,18,3,0
01/01/2018 07:45,17,3,0
01/01/2018 08:00,18,3,0
01/01/2018 08:15,17,3,0
01/01/2018 08:30,18,3,0
01/01/2018 08:45,19,3,0
01/01/2018 09:00,19,3,0
01/01/2018 09:15,17,3,0
01/01/2018 09:30,17,2,0
01/01/2018 09:45,17,3,0
01/01/2018 10:00,17,3,0
01/01/2018 10:15,17,3,0
01/01/2018 10:30,17,2,0
01/01/2018 10:45,17,3,0
01/01/2018 11:00,17,3,0
01/01/2018 11:15,17,3,0
01/01/2018 11:30,17,3,0
01/01/2018 11:45,17,2,0
01/01/2018 12:00,17,3,0
01/01/2018 12:15,17,3,0
01/01/2018 12:30,17,3,0
01/01/2018 12:45,17,2,0
01/01/2018 13:00,17,3,0
01/01/2018 13:15,17,3,0
01/01/2018 13:30,17,3,0
01/01/2018 13:45,18,3,0
01/01/2018 14:00,17,3,0
01/01/2018 14:15,17,2,0
01/01/2018 14:30,18,3,0
01/01/2018 14:45,17,3,0
01/01/2018 15:00,19,3,0
