Data hora,Activa  kW,Reactiva Indutiva  kVAR,Reactiva Capacitiva  kVAR

01/01/2018 00:00,8,9,0
01/01/2018 00:15,8,9,0
01/01/2018 00:30,8,8,0
01/01/2018 00:45,9,9,0
01/01/2018 01:00,8,9,0
01/01/2018 01:15,9,9,0
01/01/2018 01:30,8,9,0
01/01/2018 01:45,8,8,0
01/01/2018 02:00,8,9,0
01/01/2018 02:15,9,9,0
01/01/2018 02:30,8,9,0
01/01/2018 02:45,8,9,0
01/01/2018 03:00,9,9,0
01/01/2018 03:15,8,9,0
01/01/2018 03:30,8,9,0
01/01/2018 03:45,9,9,0
01/01/2018 04:00,8,9,0
01/01/2018 04:15,9,9,0
01/01/2018 04:30,8,9,0
01/01/2018 04:45,10,9,0
01/01/2018 05:00,9,9,0
01/01/2018 05:15,9,9,0
01/01/2018 05:30,9,9,0
01/01/2018 05:45,9,8,0
01/01/2018 06:00,8,9,0
01/01/2018 06:15,9,9,0
01/01/2018 06:30,9,9,0
01/01/2018 06:45,8,8,0
01/01/2018 07:00,8,9,0
01/01/2018 07:15,8,9,0
01/01/2018 07:30,8,8,0
01/01/2018 07:45,6,7,0
01/01/2018 08:00,1,0,0
01/01/2018 08:15,1,1,0
01/01/2018 08:30,1,0,0
01/01/2018 08:45,1,0,1
01/01/2018 09:00,1,0,0
01/01/2018 09:15,1,1,0
01/01/2018 09:30,1,0,0
01/01/2018 09:45,1,0,0
01/01/2018 10:00,1,0,0
01/01/2018 10:15,1,1,0
01/01/2018 10:30,1,0,0
01/01/2018 10:45,1,0,0
01/01/2018 11:00,1,1,0
01/01/2018 11:15,1,0,0
01/01/2018 11:30,1,0,0
01/01/2018 11:45,1,0,0
01/01/2018 12:00,1,0,0
01/01/2018 12:15,1,1,1
01/01/2018 12:30,1,0,0
01/01/2018 12:45,1,0,0
01/01/2018 13:00,1,1,0
01/01/2018 13:15,1,0,0
01/01/2018 13:30,1,0,0
01/01/2018 13:45,1,1,0
01/01/2018 14:00,1,0,0
01/01/2018 14:15,1,0,0
01/01/2018 14:30,1,0,0
01/01/2018 14:45,1,0,0
01/01/2018 15:00,1,1,0
01/01/2018 15:15,1,0,0
01/01/2018 15:30,1,0,0
01/01/2018 15:45,1,1,0
01/01/2018 16:00,1,0,1
01/01/2018 16:15,1,0,0
01/01/2018 16:30,1,0,0
01/01/2018 16:45,1,1,0
01/01/2018 17:00,1,0,0
01/01/2018 17:15,1,0,0
01/01/2018 17:30,2,1,0
01/01/2018 17:45,5,4,0
01/01/2018 18:00,9,9,0
01/01/2018 18:15,9,8,0
01/01/2018 18:30,8,9,0
01/01/2018 18:45,9,9,0
01/01/2018 19:00,9,8,0
01/01/2018 19:15,8,8,0
01/01/2018 19:30,9,9,0
01/01/2018 19:45,9,9,0
01/01/2018 20:00,9,8,0
01/01/2018 20:15,9,9,0
01/01/2018 20:30,8,8,0
01/01/2018 20:45,9,9,0
01/01/2018 21:00,9,8,0
01/01/2018 21:15,9,9,0
01/01/2018 21:30,9,9,0
01/01/2018 21:45,8,9,0
01/01/2018 22:00,9,9,0
01/01/2018 22:15,9,9,0
01/01/2018 22:30,8,9,0
