Data hora,Activa  kW,Reactiva Indutiva  kVAR,Reactiva Capacitiva  kVAR

01/01/2018 00:00,3,0,2
01/01/2018 00:15,3,0,2
01/01/2018 00:30,3,0,2
01/01/2018 00:45,3,0,2
01/01/2018 01:00,3,0,2
01/01/2018 01:15,3,0,2
01/01/2018 01:30,3,0,2
01/01/2018 01:45,3,0,1
01/01/2018 02:00,3,1,2
01/01/2018 02:15,3,0,2
01/01/2018 02:30,3,0,2
01/01/2018 02:45,3,0,2
01/01/2018 03:00,3,0,2
01/01/2018 03:15,3,0,2
01/01/2018 03:30,3,0,2
01/01/2018 03:45,3,0,2
01/01/2018 04:00,3,0,2
01/01/2018 04:15,3,0,2
01/01/2018 04:30,3,0,2
01/01/2018 04:45,3,0,1
01/01/2018 05:00,4,1,2
01/01/2018 05:15,3,0,2
01/01/2018 05:30,3,0,2
01/01/2018 05:45,3,0,2
01/01/2018 06:00,3,0,1
01/01/2018 06:15,3,0,2
01/01/2018 06:30,3,0,2
01/01/2018 06:45,3,0,2
01/01/2018 07:00,3,0,2
01/01/2018 07:15,6,0,2
01/01/2018 07:30,3,0,2
01/01/2018 07:45,3,0,2
01/01/2018 08:00,3,0,1
01/01/2018 08:15,4,1,1
01/01/2018 08:30,3,0,2
01/01/2018 08:45,3,0,2
01/01/2018 09:00,3,0,2
01/01/2018 09:15,3,0,2
01/01/2018 09:30,3,0,2
01/01/2018 09:45,3,0,2
01/01/2018 10:00,3,0,2
01/01/2018 10:15,3,0,1
01/01/2018 10:30,3,0,2
01/01/2018 10:45,3,0,2
01/01/2018 11:00,3,0,2
01/01/2018 11:15,3,0,1
01/01/2018 11:30,3,0,2
01/01/2018 11:45,3,0,2
01/01/2018 12:00,3,1,2
01/01/2018 12:15,3,0,2
01/01/2018 12:30,3,0,1
01/01/2018 12:45,3,0,2
01/01/2018 13:00,2,0,2
01/01/2018 13:15,3,0,2
01/01/2018 13:30,4,0,2
01/01/2018 13:45,2,0,2
01/01/2018 14:00,3,0,2
01/01/2018 14:15,3,0,2
01/01/2018 14:30,3,0,2
01/01/2018 14:45,5,0,2
01/01/2018 15:00,4,0,2
01/01/2018 15:15,3,0,2
01/01/2018 15:30,3,1,2
01/01/2018 15:45,3,0,1
01/01/2018 16:00,3,0,2
01/01/2018 16:15,3,0,2
01/01/2018 16:30,3,0,2
01/01/2018 16:45,3,0,2
01/01/2018 17:00,3,0,2
01/01/2018 17:15,3,0,2
01/01/2018 17:30,3,0,2
01/01/2018 17:45,3,0,1
01/01/2018 18:00,3,0,2
01/01/2018 18:15,4,0,2
01/01/2018 18:30,3,0,1
01/01/2018 18:45,3,0,2
01/01/2018 19:00,3,1,2
01/01/2018 19:15,2,0,2
01/01/2018 19:30,3,0,2
01/01/2018 19:45,4,0,2
01/01/2018 20:00,3,0,1
01/01/2018 20:15,2,0,2
01/01/2018 20:30,3,0,2
01/01/2018 20:45,4,0,2
01/01/2018 21:00,2,0,2
01/01/2018 21:15,3,0,2
01/01/2018 21:30,3,0,2
01/01/2018 21:45,3,0,2
01/01/2018 22:00,3,0,1
01/01/2018 22:15,3,0,2
01/01/2018 22:30,3,0,2
01/01/2018 22:45,6,0,2
01/01/2018 23:00,4,1,2
01/01/2018 23:15,2,0,2
01/01/2018 23:30,3,0,2
01/01/2018 23:45,3,0,2
02/01/2018 00:00,3,0,1
02/01/2018 00:15,3,0,2
02/01/2018 00:30,3,0,2
02/01/2018 00:45,3,0,2
02/01/2018 01:00,3,0,2
02/01/2018 01:15,3,0,2
02/01/2018 01:30,4,0,2
02/01/2018 01:45,2,0,2
02/01/2018 02:00,3,0,1
02/01/2018 02:15,3,1,2
02/01/2018 02:30,4,0,2
02/01/2018 02:45,3,0,2
02/01/2018 03:00,3,0,2
02/01/2018 03:15,3,0,2
02/01/2018 03:30,3,0,2
02/01/2018 03:45,3,0,2
02/01/2018 04:00,3,0,1
02/01/2018 04:15,4,0,1
02/01/2018 04:30,3,0,2
02/01/2018 04:45,2,0,2
02/01/2018 05:00,4,0,2
02/01/2018 05:15,3,1,2
02/01/2018 05:30,3,0,2
02/01/2018 05:45,3,0,2
02/01/2018 06:00,3,0,2
02/01/2018 06:15,3,0,2
02/01/2018 06:30,4,0,2
02/01/2018 06:45,4,0,2
02/01/2018 07:00,3,0,2
02/01/2018 07:15,3,0,2
02/01/2018 07:30,3,0,1
02/01/2018 07:45,3,0,2
02/01/2018 08:00,3,0,2
02/01/2018 08:15,3,0,2
02/01/2018 08:30,3,1,2
02/01/2018 08:45,3,0,2
02/01/2018 09:00,3,0,2
02/01/2018 09:15,2,0,2
02/01/2018 09:30,3,0,2
02/01/2018 09:45,3,0,2
02/01/2018 10:00,4,0,1
02/01/2018 10:15,4,0,2
02/01/2018 10:30,6,0,2
02/01/2018 10:45,7,0,2
02/01/2018 11:00,8,0,3
02/01/2018 11:15,7,0,2
02/01/2018 11:30,10,0,1
02/01/2018 11:45,9,0,2
02/01/2018 12:00,9,1,1
02/01/2018 12:15,8,0,1
02/01/2018 12:30,9,0,1
02/01/2018 12:45,8,1,2
02/01/2018 13:00,9,0,1
02/01/2018 13:15,9,0,1
02/01/2018 13:30,9,1,2
02/01/2018 13:45,7,0,2
02/01/2018 14:00,8,0,1
02/01/2018 14:15,12,1,2
