Data hora,Activa  kW,Reactiva Indutiva  kVAR,Reactiva Capacitiva  kVAR

01/01/2018 00:00,4,1,0
01/01/2018 00:15,4,2,0
01/01/2018 00:30,5,1,0
01/01/2018 00:45,5,1,0
01/01/2018 01:00,4,2,0
01/01/2018 01:15,4,1,0
01/01/2018 01:30,5,1,0
01/01/2018 01:45,5,2,0
01/01/2018 02:00,4,1,0
01/01/2018 02:15,5,1,0
01/01/2018 02:30,5,2,0
01/01/2018 02:45,5,1,0
01/01/2018 03:00,4,2,0
01/01/2018 03:15,4,1,0
01/01/2018 03:30,5,1,0
01/01/2018 03:45,6,2,0
01/01/2018 04:00,4,1,0
01/01/2018 04:15,4,2,0
01/01/2018 04:30,6,1,0
01/01/2018 04:45,4,1,0
01/01/2018 05:00,4,2,0
01/01/2018 05:15,5,1,0
01/01/2018 05:30,5,1,0
01/01/2018 05:45,5,1,0
01/01/2018 06:00,4,1,0
01/01/2018 06:15,5,2,0
01/01/2018 06:30,4,1,0
01/01/2018 06:45,5,1,0
01/01/2018 07:00,4,1,0
01/01/2018 07:15,4,2,0
01/01/2018 07:30,4,1,0
01/01/2018 07:45,5,1,0
01/01/2018 08:00,5,1,0
01/01/2018 08:15,5,2,0
01/01/2018 08:30,6,2,0
01/01/2018 08:45,8,5,0
01/01/2018 09:00,11,8,0
01/01/2018 09:15,13,9,0
01/01/2018 09:30,28,20,0
01/01/2018 09:45,22,16,0
01/01/2018 10:00,21,16,0
01/01/2018 10:15,21,15,0
01/01/2018 10:30,20,14,0
01/01/2018 10:45,22,16,0
01/01/2018 11:00,20,14,0
01/01/2018 11:15,20,14,0
01/01/2018 11:30,20,15,0
01/01/2018 11:45,21,14,0
01/01/2018 12:00,19,14,0
01/01/2018 12:15,18,13,0
01/01/2018 12:30,19,14,0
01/01/2018 12:45,18,12,0
01/01/2018 13:00,17,12,0
01/01/2018 13:15,19,14,0
01/01/2018 13:30,17,12,0
01/01/2018 13:45,16,12,0
01/01/2018 14:00,20,16,0
01/01/2018 14:15,17,12,0
01/01/2018 14:30,19,13,0
01/01/2018 14:45,16,12,0
01/01/2018 15:00,19,13,0
01/01/2018 15:15,16,12,0
01/01/2018 15:30,18,13,0
01/01/2018 15:45,16,11,0
01/01/2018 16:00,18,14,0
01/01/2018 16:15,18,12,0
01/01/2018 16:30,18,13,0
01/01/2018 16:45,18,13,0
01/01/2018 17:00,18,12,0
01/01/2018 17:15,19,13,0
01/01/2018 17:30,18,13,0
01/01/2018 17:45,18,13,0
01/01/2018 18:00,17,13,0
01/01/2018 18:15,15,10,0
01/01/2018 18:30,11,8,0
01/01/2018 18:45,9,5,0
01/01/2018 19:00,7,2,0
01/01/2018 19:15,5,2,0
01/01/2018 19:30,6,1,0
01/01/2018 19:45,5,1,0
01/01/2018 20:00,4,1,0
01/01/2018 20:15,5,2,0
01/01/2018 20:30,4,1,0
01/01/2018 20:45,5,1,0
01/01/2018 21:00,5,2,0
01/01/2018 21:15,5,1,0
01/01/2018 21:30,4,2,0
01/01/2018 21:45,5,1,0
01/01/2018 22:00,4,1,0
01/01/2018 22:15,5,2,0
01/01/2018 22:30,4,1,0
01/01/2018 22:45,4,1,0
01/01/2018 23:00,4,2,0
01/01/2018 23:15,6,1,0
01/01/2018 23:30,4,2,0
01/01/2018 23:45,5,1,0
02/01/2018 00:00,4,1,0
02/01/2018 00:15,6,2,0
02/01/2018 00:30,4,1,0
02/01/2018 00:45,4,1,0
02/01/2018 01:00,4,1,0
02/01/2018 01:15,5,2,0
02/01/2018 01:30,5,1,0
02/01/2018 01:45,4,1,0
02/01/2018 02:00,5,2,0
02/01/2018 02:15,5,1,0
02/01/2018 02:30,5,1,0
02/01/2018 02:45,5,2,0
02/01/2018 03:00,5,1,0
02/01/2018 03:15,4,1,0
02/01/2018 03:30,5,2,0
02/01/2018 03:45,5,1,0
02/01/2018 04:00,5,1,0
02/01/2018 04:15,4,2,0
02/01/2018 04:30,6,1,0
02/01/2018 04:45,4,1,0
02/01/2018 05:00,4,2,0
02/01/2018 05:15,5,1,0
02/01/2018 05:30,6,1,0
02/01/2018 05:45,5,2,0
02/01/2018 06:00,4,1,0
02/01/2018 06:15,5,1,0
02/01/2018 06:30,5,2,0
02/01/2018 06:45,5,1,0
02/01/2018 07:00,4,1,0
02/01/2018 07:15,4,1,0
02/01/2018 07:30,5,1,0
02/01/2018 07:45,5,2,0
02/01/2018 08:00,6,1,0
02/01/2018 08:15,7,1,0
02/01/2018 08:30,9,2,0
02/01/2018 08:45,10,5,0
02/01/2018 09:00,14,7,0
02/01/2018 09:15,15,9,0
02/01/2018 09:30,30,20,0
02/01/2018 09:45,23,16,0
02/01/2018 10:00,24,15,0
02/01/2018 10:15,22,14,0
02/01/2018 10:30,21,14,0
02/01/2018 10:45,22,14,0
02/01/2018 11:00,20,13,0
02/01/2018 11:15,22,13,0
02/01/2018 11:30,20,14,0
02/01/2018 11:45,21,13,0
02/01/2018 12:00,19,12,0
02/01/2018 12:15,21,14,0
02/01/2018 12:30,20,12,0
