Data hora,Activa  kW,Reactiva Indutiva  kVAR,Reactiva Capacitiva  kVAR

01/01/2018 00:00,5,3,0
01/01/2018 00:15,4,4,0
01/01/2018 00:30,5,4,0
01/01/2018 00:45,5,3,0
01/01/2018 01:00,4,4,0
01/01/2018 01:15,5,4,0
01/01/2018 01:30,4,3,0
01/01/2018 01:45,5,4,0
01/01/2018 02:00,5,4,0
01/01/2018 02:15,4,3,0
01/01/2018 02:30,5,4,0
01/01/2018 02:45,5,4,0
01/01/2018 03:00,5,4,0
01/01/2018 03:15,5,3,0
01/01/2018 03:30,4,4,0
01/01/2018 03:45,5,4,0
01/01/2018 04:00,5,4,0
01/01/2018 04:15,4,3,0
01/01/2018 04:30,5,4,0
01/01/2018 04:45,5,4,0
01/01/2018 05:00,4,4,0
01/01/2018 05:15,5,3,0
01/01/2018 05:30,4,4,0
01/01/2018 05:45,5,3,0
01/01/2018 06:00,5,4,0
01/01/2018 06:15,5,4,0
01/01/2018 06:30,5,4,0
01/01/2018 06:45,4,3,0
01/01/2018 07:00,5,4,0
01/01/2018 07:15,4,4,0
01/01/2018 07:30,5,4,0
01/01/2018 07:45,4,3,0
01/01/2018 08:00,2,0,1
01/01/2018 08:15,1,0,1
01/01/2018 08:30,2,0,1
01/01/2018 08:45,1,0,1
01/01/2018 09:00,2,0,1
01/01/2018 09:15,1,0,0
01/01/2018 09:30,3,0,1
01/01/2018 09:45,1,0,1
01/01/2018 10:00,2,0,1
01/01/2018 10:15,1,0,0
01/01/2018 10:30,2,0,1
01/01/2018 10:45,1,0,1
01/01/2018 11:00,2,0,1
01/01/2018 11:15,1,0,1
01/01/2018 11:30,2,0,0
01/01/2018 11:45,1,0,1
01/01/2018 12:00,2,0,1
01/01/2018 12:15,1,0,1
01/01/2018 12:30,2,0,1
01/01/2018 12:45,2,0,1
01/01/2018 13:00,2,0,1
01/01/2018 13:15,1,0,0
01/01/2018 13:30,2,0,1
01/01/2018 13:45,2,0,1
01/01/2018 14:00,1,0,1
01/01/2018 14:15,2,0,0
01/01/2018 14:30,1,0,1
01/01/2018 14:45,2,0,1
01/01/2018 15:00,1,0,1
