Data hora,Activa  kW,Reactiva Indutiva  kVAR,Reactiva Capacitiva  kVAR

01/01/2018 00:00,3,2,0
01/01/2018 00:15,4,1,0
01/01/2018 00:30,4,2,0
01/01/2018 00:45,4,2,0
01/01/2018 01:00,4,2,0
01/01/2018 01:15,3,2,0
01/01/2018 01:30,4,1,0
01/01/2018 01:45,4,2,0
01/01/2018 02:00,5,2,0
01/01/2018 02:15,4,2,0
01/01/2018 02:30,4,2,0
01/01/2018 02:45,4,2,0
01/01/2018 03:00,3,2,0
01/01/2018 03:15,4,2,0
01/01/2018 03:30,4,2,0
01/01/2018 03:45,4,1,0
01/01/2018 04:00,4,2,0
01/01/2018 04:15,4,2,0
01/01/2018 04:30,4,2,0
01/01/2018 04:45,3,2,0
01/01/2018 05:00,4,2,0
01/01/2018 05:15,4,2,0
01/01/2018 05:30,4,1,0
01/01/2018 05:45,4,2,0
01/01/2018 06:00,3,2,0
01/01/2018 06:15,4,2,0
01/01/2018 06:30,4,1,0
01/01/2018 06:45,4,2,0
01/01/2018 07:00,4,2,0
01/01/2018 07:15,4,2,0
01/01/2018 07:30,3,2,0
01/01/2018 07:45,4,2,0
01/01/2018 08:00,4,1,0
01/01/2018 08:15,4,2,0
01/01/2018 08:30,4,2,0
01/01/2018 08:45,3,2,0
01/01/2018 09:00,4,2,0
01/01/2018 09:15,4,2,0
01/01/2018 09:30,4,1,0
01/01/2018 09:45,4,2,0
01/01/2018 10:00,3,2,0
01/01/2018 10:15,4,2,0
01/01/2018 10:30,4,1,0
01/01/2018 10:45,4,2,0
01/01/2018 11:00,3,2,0
01/01/2018 11:15,4,2,0
01/01/2018 11:30,5,1,0
01/01/2018 11:45,3,2,0
01/01/2018 12:00,4,2,0
01/01/2018 12:15,4,2,0
01/01/2018 12:30,4,1,0
01/01/2018 12:45,3,2,0
01/01/2018 13:00,4,1,0
01/01/2018 13:15,4,2,0
01/01/2018 13:30,4,2,0
01/01/2018 13:45,3,2,0
01/01/2018 14:00,4,2,0
01/01/2018 14:15,4,2,0
01/01/2018 14:30,4,1,0
01/01/2018 14:45,3,2,0
01/01/2018 15:00,4,2,0
01/01/2018 15:15,4,2,0
01/01/2018 15:30,4,2,0
01/01/2018 15:45,4,2,0
01/01/2018 16:00,4,2,0
01/01/2018 16:15,4,2,0
01/01/2018 16:30,3,2,0
01/01/2018 16:45,4,1,0
01/01/2018 17:00,4,2,0
01/01/2018 17:15,4,2,0
01/01/2018 17:30,4,2,0
01/01/2018 17:45,3,2,0
01/01/2018 18:00,4,1,0
01/01/2018 18:15,4,2,0
01/01/2018 18:30,4,2,0
01/01/2018 18:45,4,2,0
01/01/2018 19:00,3,1,0
01/01/2018 19:15,4,2,0
01/01/2018 19:30,4,2,0
01/01/2018 19:45,4,2,0
01/01/2018 20:00,4,2,0
01/01/2018 20:15,3,2,0
01/01/2018 20:30,4,1,0
01/01/2018 20:45,4,2,0
01/01/2018 21:00,4,2,0
01/01/2018 21:15,4,2,0
01/01/2018 21:30,3,2,0
01/01/2018 21:45,4,1,0
01/01/2018 22:00,4,2,0
01/01/2018 22:15,4,2,0
01/01/2018 22:30,5,2,0
01/01/2018 22:45,4,2,0
01/01/2018 23:00,3,2,0
01/01/2018 23:15,4,2,0
01/01/2018 23:30,4,1,0
01/01/2018 23:45,4,2,0
02/01/2018 00:00,4,2,0
02/01/2018 00:15,4,2,0
02/01/2018 00:30,3,2,0
02/01/2018 00:45,4,2,0
02/01/2018 01:00,4,1,0
02/01/2018 01:15,4,2,0
02/01/2018 01:30,3,2,0
02/01/2018 01:45,4,1,0
02/01/2018 02:00,4,2,0
02/01/2018 02:15,4,2,0
02/01/2018 02:30,4,2,0
