Data hora,Activa  kW,Reactiva Indutiva  kVAR,Reactiva Capacitiva  kVAR

01/01/2018 00:00,2,1,0
01/01/2018 00:15,3,1,0
01/01/2018 00:30,2,1,0
01/01/2018 00:45,3,0,0
01/01/2018 01:00,2,1,1
01/01/2018 01:15,3,1,0
01/01/2018 01:30,4,0,0
01/01/2018 01:45,3,1,0
01/01/2018 02:00,3,1,0
01/01/2018 02:15,3,1,0
01/01/2018 02:30,2,1,0
01/01/2018 02:45,3,1,1
01/01/2018 03:00,2,1,0
01/01/2018 03:15,3,1,0
01/01/2018 03:30,3,1,0
01/01/2018 03:45,2,1,0
01/01/2018 04:00,3,0,0
01/01/2018 04:15,2,1,0
01/01/2018 04:30,3,1,1
01/01/2018 04:45,2,1,0
01/01/2018 05:00,3,0,0
01/01/2018 05:15,3,1,0
01/01/2018 05:30,2,1,0
01/01/2018 05:45,3,1,0
01/01/2018 06:00,2,0,1
01/01/2018 06:15,2,1,0
01/01/2018 06:30,3,1,0
01/01/2018 06:45,2,1,0
01/01/2018 07:00,3,1,0
01/01/2018 07:15,3,1,0
01/01/2018 07:30,2,1,0
01/01/2018 07:45,3,1,1
01/01/2018 08:00,4,1,0
01/01/2018 08:15,5,0,0
01/01/2018 08:30,3,1,0
01/01/2018 08:45,3,1,0
01/01/2018 09:00,3,0,0
01/01/2018 09:15,3,1,1
01/01/2018 09:30,3,1,0
01/01/2018 09:45,3,0,0
01/01/2018 10:00,3,1,0
01/01/2018 10:15,3,0,1
01/01/2018 10:30,3,1,0
01/01/2018 10:45,3,1,0
01/01/2018 11:00,3,0,0
01/01/2018 11:15,3,1,1
01/01/2018 11:30,3,1,0
01/01/2018 11:45,3,0,0
01/01/2018 12:00,2,1,0
01/01/2018 12:15,2,1,1
01/01/2018 12:30,2,1,0
01/01/2018 12:45,1,1,0
01/01/2018 13:00,2,1,0
01/01/2018 13:15,2,1,0
01/01/2018 13:30,2,1,0
01/01/2018 13:45,1,1,0
01/01/2018 14:00,2,1,1
01/01/2018 14:15,2,0,0
01/01/2018 14:30,1,1,0
01/01/2018 14:45,2,1,0
01/01/2018 15:00,1,1,0
01/01/2018 15:15,2,1,0
01/01/2018 15:30,3,0,0
01/01/2018 15:45,2,1,1
01/01/2018 16:00,2,1,0
01/01/2018 16:15,3,1,0
01/01/2018 16:30,2,1,0
01/01/2018 16:45,2,1,0
01/01/2018 17:00,3,0,0
01/01/2018 17:15,2,1,0
01/01/2018 17:30,2,1,1
01/01/2018 17:45,3,1,0
